name,url,content
Cyber Insider Threat,http://www.darpa.mil/our_work/i2o/programs/,[]
Diverse & Accessible Heterogeneous Integration,http://www.darpa.mil/Our_Work/MTO/Programs/Diverse_Accessible_Heterogeneous_Integration_(DAHI).aspx,[]
Office Management,http://www.darpa.mil/our_work/mto/personnel/,"[<p><h2><a href=""/Our_Work/MTO/Personnel/Dr__Avram_Bar-Cohen.aspx"">Dr. Avram Bar-Cohen</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:avram.bar-cohen@darpa.mil"">avram.bar-cohen@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Mr_Kerry_Bernstein.aspx"">Mr. Kerry Bernstein</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office (MTO)</span></div><span class=""block""><a href=""mailto:kerry.bernstein@darpa.mil"">kerry.bernstein@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Josh_Conway.aspx"">Dr. Josh Conway</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:joshua.conway@darpa.mil"">joshua.conway@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Joseph_Cross.aspx"">Dr. Joseph Cross</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:joseph.cross@darpa.mil"">joseph.cross@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Daniel_Green.aspx"">Dr. Daniel Green</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:daniel.green@darpa.mil"">daniel.green@darpa.mil</a></span></p>]"
TANGO BRAVO,None,No project description available
Integrated Sensor is Structure (ISIS),http://www.darpa.mil/Our_Work/STO/Programs/Integrated_Sensor_is_Structure_(ISIS).aspx,"[<p>Tracking and engaging numerous key targets in the sky and on the ground over vast geographic areas is critical for deployed warfighters. Today this requires multiple manned and unmanned airborne systems and ground support personnel and facilities overseas in theater.</p>, <p><p>Tracking and engaging numerous key targets in the sky and on the ground over vast geographic areas is critical for deployed warfighters. Today this requires multiple manned and unmanned airborne systems and ground support personnel and facilities overseas in theater.</p>
<p>To address this challenge, the joint DARPA/Air Force Integrated Sensor is Structure (ISIS) program is developing a sensor of unprecedented proportions to be fully integrated into a stratospheric airship. ISIS is designed to provide persistent wide-area surveillance, tracking, and engagement for hundreds of time-critical air and ground targets in deployed overseas urban and rural environments, without requiring in-theater support facilities or personnel.  ISIS seeks radical sensor improvements by melding the next generation technologies for enormous lightweight antenna apertures and high-energy density components into a highly integrated, lightweight, multi-purpose airship structure, completely erasing the distinction between payload and platform.</p>
<p>The ISIS concept includes 99% on-station, 24/7/365 availability for simultaneous Airborne Moving Target Indicator (AMTI) (600 kilometers) and Ground-Based Moving Target Indicator (GMTI) (300 kilometers) operation; ten years of autonomous, unmanned flight; plus U.S.-based operation. </p>
<p>The current program focus is radar risk reduction.</p>
</p>, <p>Tracking and engaging numerous key targets in the sky and on the ground over vast geographic areas is critical for deployed warfighters. Today this requires multiple manned and unmanned airborne systems and ground support personnel and facilities overseas in theater.</p>, <p>To address this challenge, the joint DARPA/Air Force Integrated Sensor is Structure (ISIS) program is developing a sensor of unprecedented proportions to be fully integrated into a stratospheric airship. ISIS is designed to provide persistent wide-area surveillance, tracking, and engagement for hundreds of time-critical air and ground targets in deployed overseas urban and rural environments, without requiring in-theater support facilities or personnel.  ISIS seeks radical sensor improvements by melding the next generation technologies for enormous lightweight antenna apertures and high-energy density components into a highly integrated, lightweight, multi-purpose airship structure, completely erasing the distinction between payload and platform.</p>, <p>The ISIS concept includes 99% on-station, 24/7/365 availability for simultaneous Airborne Moving Target Indicator (AMTI) (600 kilometers) and Ground-Based Moving Target Indicator (GMTI) (300 kilometers) operation; ten years of autonomous, unmanned flight; plus U.S.-based operation. </p>]"
Legged Squad Support System (LS3),http://www.darpa.mil/Our_Work/TTO/Programs/Legged_Squad_Support_System_(LS3).aspx,"[<p>Today’s dismounted warfighter can be saddled with more than 100 pounds 
of gear, resulting in physical strain, fatigue and degraded performance. 
Reducing the load on dismounted warfighters has become a major point of emphasis 
for defense research and development, because the increasing weight of 
individual equipment has a negative impact on warfighter readiness. The Army has 
identified physical overburden as one of its top five science and technology 
challenges. To help alleviate physical weight on troops, DARPA is developing a 
four-legged robot, the Legged Squad Support System (LS3), to integrate with a 
squad of Marines or Soldiers.</p>, <p><p>Today’s dismounted 
warfighter can be saddled with more than 100 pounds of gear, resulting in 
physical strain, fatigue and degraded performance. Reducing the load on 
dismounted warfighters has become a major point of emphasis for defense research 
and development, because the increasing weight of individual equipment has a 
negative impact on warfighter readiness. The Army has identified physical 
overburden as one of its top five science and technology challenges. To help 
alleviate physical weight on troops, DARPA is developing a four-legged robot, 
the Legged Squad Support System (LS3), to integrate with a squad of Marines or 
Soldiers.</p>
<p>LS3 seeks to demonstrate that a highly mobile, semi-autonomous 
legged robot can carry 400 lbs of a squad’s load, follow squad members through 
rugged terrain and interact with troops in a natural way, similar to a trained 
animal and its handler.</p>
<p>The LS3 program goal is to develop a robot that 
will go through the same terrain the squad goes through without hindering the 
squad’s mission. The robot could also serve as a mobile auxiliary power source 
to the squad, so troops can recharge batteries for radios and handheld devices 
while on patrol.</p>
<p>In January 2012, the LS3 prototype completed its first 
outdoor assessment, demonstrating mobility by climbing and descending a hill and 
exercising its perception capabilities.</p>
<p>A two-year, platform-refinement 
test cycle began in July 2012, with Marine and Army involvement, culminating in 
a planned capstone exercise where LS3 should embed with Marines conducting field 
exercises. During this period, DARPA seeks to finish the development of and 
refine LS3’s technologies to provide a suite of autonomy settings, including 
leader-follower tight, leader-follower corridor and go-to-waypoint, described 
below: </p>
<ul>
<li>Leader-follower tight: LS3 attempts to follow as close as 
possible to the path its leader takes</li>
<li>Leader-follower corridor: LS3 
sticks to the leader but has freedom to make local path decisions, so the leader 
doesn’t need to think about LS3’s mobility capabilities</li>
<li>Go-to-waypoint: 
LS3 uses its local perception to avoid obstacles on its way to a designated GPS 
coordinate</li>
</ul>
<p>Additionally, technologies to allow squad members to 
speak commands to LS3 are anticipated to be added during this period. </p>
<p>LS3 represents the culmination of a decade of research in perception and 
autonomy with programs like DARPA’s Unmanned Ground Combat Vehicle-Perception 
for Off-Road Robotics Integration (UPI) program, mobility work with DARPA’s “Big 
Dog” and significant advances in natural human-robot interface such as voice 
recognition.</p>
<p align=""center""><iframe frameborder=""0"" height=""298"" src=""http://www.youtube.com/embed/40gECrmuCaU"" width=""530""></iframe>
 </p>
</p>, <p>Today’s dismounted 
warfighter can be saddled with more than 100 pounds of gear, resulting in 
physical strain, fatigue and degraded performance. Reducing the load on 
dismounted warfighters has become a major point of emphasis for defense research 
and development, because the increasing weight of individual equipment has a 
negative impact on warfighter readiness. The Army has identified physical 
overburden as one of its top five science and technology challenges. To help 
alleviate physical weight on troops, DARPA is developing a four-legged robot, 
the Legged Squad Support System (LS3), to integrate with a squad of Marines or 
Soldiers.</p>, <p>LS3 seeks to demonstrate that a highly mobile, semi-autonomous 
legged robot can carry 400 lbs of a squad’s load, follow squad members through 
rugged terrain and interact with troops in a natural way, similar to a trained 
animal and its handler.</p>, <p>The LS3 program goal is to develop a robot that 
will go through the same terrain the squad goes through without hindering the 
squad’s mission. The robot could also serve as a mobile auxiliary power source 
to the squad, so troops can recharge batteries for radios and handheld devices 
while on patrol.</p>]"
Thermal Spectral Fingerprinting (ThermaPrint),None,No project description available
DIRO Support,None,No project description available
EXCALIBUR,http://www.darpa.mil/our_work/mto/programs/excalibur.aspx,"[<p>The Excalibur program is developing optical phased array technology to enable high-power laser systems that are 10 times lighter and more compact than existing high-power laser systems for use on a broad spectrum of military platforms without degradation of the original platform mission.</p>, <p>
<p>In counterinsurgent, counter-terror campaigns, risks
associated with conventional
weapons in combat operations can severely limit their use and
effectiveness, particularly in urban environments.  These risks are largely associated with
challenges posed by confining intended effects to adversary combatants and
forces.  Even in cases when combat
operations are deemed necessary, the consequences of collateral damage from
conventional weapons can complicate and hinder the overall mission.  Laboratory and field testing of high-power
laser systems indicate irradiance levels for functional and lethal effects
against a variety of adversary targets and surgical precision of such lasers
against certain air and ground targets. However, existing high-power chemical laser systems are too
large and too inefficient for deployment on tactical airborne platforms.</p>
<p>The DARPA Excalibur program will develop coherent optical
phased array technologies to enable scalable laser weapons that are 10 times
lighter and more compact than existing high-power chemical laser systems.  The optical phased array architecture
provides electro-optical systems with the same mission flexibility and
performance enhancements that microwave phased arrays provide for RF systems
and a multifunction Excalibur array may also perform laser radar, target
designation, laser communications, and airborne-platform self protection tasks. <strong> </strong> </p>
<p>These phased arrays will coherently combine lower-power
electrically driven lasers, such as diode lasers and fiber laser amplifiers.  Coherently combinable single-mode diode
lasers and fiber-based systems can provide overall laser efficiencies greater
than 50 percent and 30 percent, respectively, while maintaining
near-diffraction-limited beam quality. 
To produce a weapons-grade system, however, their output power must be
increased without introducing additional optical phase noise and modal
instability.  </p>
<p>Beam-steering technologies will be pursued to make these
arrays conformal with the airframe, to provide rapid retargeting across a large
field of regard, and to compensate for the effects of atmospheric
turbulence.  The Excalibur program will
demonstrate a high-power phased array of kW<strong>- </strong>class fiber laser amplifiers and investigate the limits of active
optical phase-locking onto uncooperative targets under realistic
conditions.  </p>
<p>Once Excalibur’s technical objectives are achieved, it is
envisioned that a coherent array of 10's of subapertures, each driven with a multi-kW coherently combinable fiber laser
amplifiers, would enable ~100 kW
class laser systems for precision strikes against both ground and air
targets.  This technology will enable the
practical use of high-power lasers on a broad spectrum of military platforms
without degradation of their original missions. <strong><s></s></strong> </p>
 </p>, <p>In counterinsurgent, counter-terror campaigns, risks
associated with conventional
weapons in combat operations can severely limit their use and
effectiveness, particularly in urban environments.  These risks are largely associated with
challenges posed by confining intended effects to adversary combatants and
forces.  Even in cases when combat
operations are deemed necessary, the consequences of collateral damage from
conventional weapons can complicate and hinder the overall mission.  Laboratory and field testing of high-power
laser systems indicate irradiance levels for functional and lethal effects
against a variety of adversary targets and surgical precision of such lasers
against certain air and ground targets. However, existing high-power chemical laser systems are too
large and too inefficient for deployment on tactical airborne platforms.</p>, <p>The DARPA Excalibur program will develop coherent optical
phased array technologies to enable scalable laser weapons that are 10 times
lighter and more compact than existing high-power chemical laser systems.  The optical phased array architecture
provides electro-optical systems with the same mission flexibility and
performance enhancements that microwave phased arrays provide for RF systems
and a multifunction Excalibur array may also perform laser radar, target
designation, laser communications, and airborne-platform self protection tasks. <strong> </strong> </p>, <p>These phased arrays will coherently combine lower-power
electrically driven lasers, such as diode lasers and fiber laser amplifiers.  Coherently combinable single-mode diode
lasers and fiber-based systems can provide overall laser efficiencies greater
than 50 percent and 30 percent, respectively, while maintaining
near-diffraction-limited beam quality. 
To produce a weapons-grade system, however, their output power must be
increased without introducing additional optical phase noise and modal
instability.  </p>]"
ITMANET,None,No project description available
ADEPT,http://www.darpa.mil/Our_Work/BTO/Programs/Autonomous_Diagnostics_to_Enable_Prevention_and_Therapeutics_ADEPT.aspx,"[<p>The Department of Defense must be able to provide health care anywhere in the world at anytime. Autonomous Diagnostics to Enable Prevention and Therapeutics (ADEPT), is a five year program that seeks to provide Soldiers, Sailors, Airmen and Marines actionable information about their health, on-demand, by developing the following capabilities: diagnostics that can be carried on-person and self-administered, coupled with formats suitable for preservation of self-collected biospecimens for later expanded testing, if necessary; highly-multiplexed tests that can be performed outside of clinical laboratories; and, new methods to achieve effective immunity. These capabilities are being investigated through two efforts.</p>, <p><p>The Department of Defense must be able to provide health care anywhere in the world at anytime. Autonomous Diagnostics to Enable Prevention and Therapeutics (ADEPT), is a five year program that seeks to provide Soldiers, Sailors, Airmen and Marines actionable information about their health, on-demand, by developing the following capabilities: diagnostics that can be carried on-person and self-administered, coupled with formats suitable for preservation of self-collected biospecimens for later expanded testing, if necessary; highly-multiplexed tests that can be performed outside of clinical laboratories; and, new methods to achieve effective immunity. These capabilities are being investigated through two efforts.</p>
<p>ADEPT - Diagnostics on Demand (DxOD): DxOD aims to enable in-vitro devices that address current clinical diagnostic needs and are reconfigurable to decrease the time to design, manufacture and rapidly distribute assays in response to an emerging diagnostic need.  The program is addressing diagnostic technologies for use in two settings: diagnostics tailored for self-performed tests in limited resource settings and in point-of-care settings.  These efforts will improve diagnostic capability and medical care in garrison, as well as in field, fleet, and air transport settings.  An additional thrust of the DxOD effort includes capabilities to preserve, ship, archive and recover biomarkers from a self-collected biospecimen.</p>
<p>DARPA released a Request For Information related to this facet of the ADEPT program on November 14, 2011.</p>
<p>ADEPT - Controlling Cellular Machinery (CCM) includes two components and leverages advances to prevent, detect and treat disease using in-vivo and continuous monitoring methods. </p>
<ul>
<li>Diagnostics and Therapeutics, launched in August 2011: advances the fundamental development and application of synthetic methods to detect, report and treat disease.</li>
<li>Vaccines, which began in September 2011: focuses on developing a non-integrating nucleic-acid based vaccine that has the potential to be safer and more effective than traditional vaccines.</li>
</ul>
</p>, <p>The Department of Defense must be able to provide health care anywhere in the world at anytime. Autonomous Diagnostics to Enable Prevention and Therapeutics (ADEPT), is a five year program that seeks to provide Soldiers, Sailors, Airmen and Marines actionable information about their health, on-demand, by developing the following capabilities: diagnostics that can be carried on-person and self-administered, coupled with formats suitable for preservation of self-collected biospecimens for later expanded testing, if necessary; highly-multiplexed tests that can be performed outside of clinical laboratories; and, new methods to achieve effective immunity. These capabilities are being investigated through two efforts.</p>, <p>ADEPT - Diagnostics on Demand (DxOD): DxOD aims to enable in-vitro devices that address current clinical diagnostic needs and are reconfigurable to decrease the time to design, manufacture and rapidly distribute assays in response to an emerging diagnostic need.  The program is addressing diagnostic technologies for use in two settings: diagnostics tailored for self-performed tests in limited resource settings and in point-of-care settings.  These efforts will improve diagnostic capability and medical care in garrison, as well as in field, fleet, and air transport settings.  An additional thrust of the DxOD effort includes capabilities to preserve, ship, archive and recover biomarkers from a self-collected biospecimen.</p>, <p>DARPA released a Request For Information related to this facet of the ADEPT program on November 14, 2011.</p>]"
CFO AUDIT CORRECTION,None,No project description available
23 Mathematical Challenges,None,No project description available
BLAST DOSIMETER,None,No project description available
MTO Management,http://www.darpa.mil/our_work/mto/personnel/,"[<p><h2><a href=""/Our_Work/MTO/Personnel/Dr__Avram_Bar-Cohen.aspx"">Dr. Avram Bar-Cohen</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:avram.bar-cohen@darpa.mil"">avram.bar-cohen@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Mr_Kerry_Bernstein.aspx"">Mr. Kerry Bernstein</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office (MTO)</span></div><span class=""block""><a href=""mailto:kerry.bernstein@darpa.mil"">kerry.bernstein@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Josh_Conway.aspx"">Dr. Josh Conway</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:joshua.conway@darpa.mil"">joshua.conway@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Joseph_Cross.aspx"">Dr. Joseph Cross</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:joseph.cross@darpa.mil"">joseph.cross@darpa.mil</a></span></p>, <p><h2><a href=""/Our_Work/MTO/Personnel/Dr_Daniel_Green.aspx"">Dr. Daniel Green</a></h2><div style=""display:none""><span class=""block"">Program Manager</span><span class=""block"">Microsystems Technology Office</span></div><span class=""block""><a href=""mailto:daniel.green@darpa.mil"">daniel.green@darpa.mil</a></span></p>]"
Cognitive Technology Threat Warning Systems (CT2WS),None,No project description available
SERS S&T FUNDAMENTALS,None,No project description available
Mind's Eye,None,No project description available
